ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment
HD,2023-05-16,0.9303732,0.04914286,0.020483956,0.9098893
HD,2023-05-23,0.93561584,0.032529924,0.031854227,0.9037616
HD,2023-06-20,0.92607284,0.05174044,0.022186756,0.9038861
HD,2023-07-13,0.93731266,0.027324075,0.035363317,0.90194935
HD,2023-08-15,0.9320834,0.04741291,0.02050367,0.9115797
HD,2023-10-30,0.92777133,0.026913557,0.045315072,0.8824563
HD,2023-11-14,0.9311031,0.048287507,0.020609368,0.91049373
HD,2023-11-28,0.94499254,0.029531183,0.025476301,0.9195162
HD,2023-12-04,0.94484794,0.03202615,0.023125894,0.92172205
HD,2024-01-10,0.74682254,0.23046939,0.022708056,0.7241145
HD,2024-02-20,0.9248485,0.054462403,0.020689078,0.9041594
HD,2024-03-28,0.9117939,0.06055853,0.027647534,0.8841464
HD,2024-05-09,0.9400619,0.026369449,0.03356857,0.90649337
HD,2024-05-14,0.93051136,0.048702717,0.020785961,0.90972537
HD,2024-05-22,0.93089753,0.036636557,0.03246596,0.8984316
HD,2024-05-30,0.6603967,0.3216122,0.017991101,0.64240557
HD,2024-06-18,0.94185627,0.03431018,0.02383357,0.91802275
HD,2024-06-25,0.94742525,0.028901838,0.023672901,0.9237523
HD,2024-06-27,0.41835415,0.5513504,0.030295374,0.38805878
HD,2024-08-13,0.93222153,0.046972767,0.020805676,0.9114158
HD,2024-11-12,0.9312412,0.04784736,0.020911373,0.9103298
JNJ,2022-11-30,0.9210832,0.057376616,0.021540195,0.89954305
JNJ,2022-12-22,0.9216156,0.042962797,0.035421602,0.886194
JNJ,2023-01-24,0.9142387,0.0574059,0.028355408,0.8858833
JNJ,2023-02-14,0.9326744,0.046002213,0.021323334,0.9113511
JNJ,2023-03-31,0.86624146,0.11436418,0.019394338,0.8468471
JNJ,2023-04-04,0.90420985,0.042070642,0.05371947,0.8504904
JNJ,2023-04-18,0.8800028,0.06902944,0.05096778,0.829035
JNJ,2023-04-28,0.92798007,0.049604222,0.022415718,0.9055643
JNJ,2023-05-08,0.9390187,0.032098696,0.028882626,0.9101361
JNJ,2023-07-20,0.9104196,0.061441995,0.028138354,0.8822812
JNJ,2023-07-24,0.94578445,0.033135567,0.021079984,0.9247045
JNJ,2023-07-28,0.9098196,0.06814015,0.022040267,0.88777936
JNJ,2023-08-25,0.9497492,0.025668453,0.024582349,0.92516685
JNJ,2023-08-30,0.9344939,0.02526271,0.04024339,0.8942505
JNJ,2023-10-17,0.90235627,0.07082585,0.026817827,0.87553847
JNJ,2023-10-23,0.76352113,0.21593107,0.020547807,0.7429733
JNJ,2023-11-27,0.9375861,0.03723117,0.025182676,0.91240346
JNJ,2023-11-30,0.87896514,0.08649753,0.034537397,0.8444277
JNJ,2023-12-05,0.9437075,0.026941877,0.029350596,0.91435695
JNJ,2024-01-23,0.8800883,0.09408861,0.025823044,0.85426533
JNJ,2024-04-16,0.84431994,0.10970254,0.0459775,0.79834247
JNJ,2024-04-29,0.92604566,0.052424863,0.021529451,0.9045162
JNJ,2024-05-01,0.79436654,0.17205048,0.033582985,0.7607836
JNJ,2024-05-17,0.9500156,0.023902882,0.026081512,0.9239341
JNJ,2024-05-20,0.93692905,0.023999283,0.039071705,0.8978573
JNJ,2024-07-17,0.904176,0.06759342,0.028230557,0.87594545
JNJ,2024-08-26,0.89716786,0.08137286,0.02145924,0.8757086
JNJ,2024-09-10,0.79600835,0.18419623,0.019795354,0.776213
JNJ,2024-09-20,0.86983335,0.032220222,0.09794637,0.771887
JNJ,2024-10-15,0.8807202,0.09113958,0.028140232,0.85257995
JPM,2023-03-01,0.94620585,0.028896056,0.024898104,0.9213078
JPM,2023-04-14,0.8937885,0.08549959,0.020711858,0.8730767
JPM,2023-04-20,0.9300969,0.04410178,0.025801282,0.9042956
JPM,2023-05-01,0.9116655,0.06576657,0.02256795,0.8890975
JPM,2023-05-18,0.9413048,0.03300903,0.025686145,0.91561866
JPM,2023-05-22,0.89769685,0.079689614,0.022613559,0.87508327
JPM,2023-06-01,0.9450636,0.03123913,0.02369731,0.9213662
JPM,2023-06-26,0.93488073,0.04478915,0.020330075,0.91455066
JPM,2023-06-30,0.9227235,0.0542025,0.02307404,0.89964944
JPM,2023-07-14,0.89406234,0.08547601,0.020461628,0.8736007
JPM,2023-07-24,0.94702923,0.029513361,0.023457402,0.9235718
JPM,2023-09-22,0.94197047,0.03819716,0.01983235,0.9221381
JPM,2023-10-13,0.89396507,0.08546057,0.02057436,0.8733907
JPM,2023-10-23,0.93985665,0.037408214,0.022735212,0.9171214
JPM,2023-10-26,0.9210708,0.020506538,0.058422707,0.86264807
JPM,2024-01-12,0.8977591,0.081955984,0.020284932,0.8774741
JPM,2024-01-16,0.94728154,0.030546559,0.022171894,0.9251096
JPM,2024-01-18,0.87748826,0.02437805,0.098133676,0.7793546
JPM,2024-01-23,0.9474282,0.030322766,0.022248957,0.92517924
JPM,2024-01-25,0.9451442,0.034710176,0.020145688,0.9249985
JPM,2024-03-12,0.9456473,0.029303981,0.025048709,0.9205986
JPM,2024-03-21,0.94976497,0.02868314,0.02155184,0.9282131
JPM,2024-04-08,0.8632952,0.11709015,0.019614683,0.8436805
JPM,2024-04-12,0.8937885,0.08549959,0.020711858,0.8730767
JPM,2024-04-22,0.9476509,0.030099336,0.022249725,0.9254012
JPM,2024-05-06,0.9413488,0.0320734,0.026577791,0.914771
JPM,2024-05-15,0.9432837,0.034872226,0.021844111,0.9214395
JPM,2024-05-20,0.89769685,0.079689614,0.022613559,0.87508327
JPM,2024-05-23,0.9423432,0.032416154,0.025240665,0.9171025
JPM,2024-06-03,0.9464668,0.028806843,0.024726335,0.92174053
JPM,2024-06-28,0.9084997,0.06988781,0.02161246,0.8868873
JPM,2024-07-12,0.8955893,0.083768144,0.020642567,0.8749467
JPM,2024-07-22,0.9474113,0.030291941,0.022296801,0.92511445
JPM,2024-07-24,0.9514161,0.022863809,0.025720121,0.92569596
JPM,2024-08-20,0.9514888,0.022982344,0.025528828,0.92595994
JPM,2024-09-27,0.94918823,0.02169384,0.029117981,0.92007023
JPM,2024-10-11,0.89396507,0.08546057,0.02057436,0.8733907
JPM,2024-10-17,0.94624496,0.03239589,0.02135916,0.92488575
JPM,2024-10-22,0.94765115,0.02999606,0.022352818,0.92529833
KO,2022-12-12,0.9372206,0.036282364,0.026497085,0.9107235
KO,2023-02-14,0.94071335,0.039131958,0.02015467,0.9205587
KO,2023-04-24,0.94284034,0.036776498,0.020383194,0.9224572
KO,2023-04-26,0.916798,0.060049627,0.023152368,0.89364564
KO,2023-07-19,0.94324136,0.03132277,0.025435843,0.91780555
KO,2023-07-26,0.9417621,0.038239263,0.019998718,0.9217633
KO,2023-10-20,0.92796147,0.050571937,0.021466598,0.90649486
KO,2023-10-24,0.9415825,0.03843224,0.019985247,0.92159724
KO,2024-02-13,0.9403205,0.03952004,0.020159416,0.9201611
KO,2024-04-30,0.94284034,0.036776498,0.020383194,0.9224572
KO,2024-05-02,0.9329898,0.03740295,0.029607281,0.9033825
KO,2024-05-08,0.94413567,0.027095105,0.028769217,0.9153664
KO,2024-05-13,0.94307375,0.02909432,0.027831875,0.9152419
KO,2024-05-14,0.94493866,0.026663132,0.028398247,0.9165404
KO,2024-07-23,0.8763103,0.10334321,0.020346534,0.8559637
KO,2024-08-09,0.9449152,0.026883766,0.028201079,0.9167141
KO,2024-08-14,0.93800926,0.034374453,0.027616233,0.91039306
KO,2024-08-15,0.94535697,0.026620947,0.028022077,0.91733485
KO,2024-08-21,0.924217,0.052999984,0.022783099,0.9014338
KO,2024-10-17,0.9385613,0.036795534,0.024643127,0.91391814
KO,2024-10-23,0.9415825,0.03843224,0.019985247,0.92159724
MSFT,2022-12-16,0.91661847,0.061428074,0.0219535,0.89466494
MSFT,2023-01-18,0.7935654,0.18275806,0.023676597,0.76988876
MSFT,2023-01-24,0.9459543,0.032432146,0.021613557,0.9243407
MSFT,2023-04-25,0.94606453,0.031906217,0.02202927,0.92403525
MSFT,2023-07-03,0.9486873,0.026924852,0.024387818,0.9242995
MSFT,2023-07-25,0.94699633,0.030526005,0.02247766,0.9245187
MSFT,2023-10-11,0.9181112,0.051162105,0.030726664,0.88738453
MSFT,2023-10-13,0.91073906,0.050153147,0.039107792,0.87163126
MSFT,2023-10-16,0.9288331,0.046852045,0.024314828,0.90451837
MSFT,2023-10-24,0.94633806,0.03181225,0.021849655,0.9244884
MSFT,2023-10-30,0.94425154,0.029428441,0.026320053,0.91793144
MSFT,2023-11-06,0.900488,0.07367488,0.025837075,0.87465096
MSFT,2023-12-08,0.91988236,0.05219588,0.027921742,0.8919606
MSFT,2024-01-19,0.93342924,0.04479797,0.021772714,0.91165656
MSFT,2024-01-30,0.9459543,0.032432146,0.021613557,0.9243407
MSFT,2024-03-08,0.9269163,0.042263508,0.030820144,0.89609617
MSFT,2024-04-25,0.94606453,0.031906217,0.02202927,0.92403525
MSFT,2024-07-30,0.94699633,0.030526005,0.02247766,0.9245187
MSFT,2024-08-21,0.9453089,0.033745237,0.020945854,0.924363
MSFT,2024-10-30,0.94633806,0.03181225,0.021849655,0.9244884
NEE,2022-12-21,0.9379655,0.032517735,0.029516798,0.9084487
NEE,2022-12-22,0.9270995,0.044083066,0.028817354,0.8982822
NEE,2023-01-25,0.782353,0.19536838,0.02227864,0.7600743
NEE,2023-02-09,0.9377936,0.039956823,0.022249615,0.91554403
NEE,2023-03-01,0.93909764,0.03728258,0.023619764,0.9154779
NEE,2023-03-03,0.94501066,0.03170111,0.023288246,0.9217224
NEE,2023-03-17,0.9503758,0.026124582,0.023499658,0.9268761
NEE,2023-04-25,0.9224045,0.05786801,0.01972742,0.9026772
NEE,2023-05-18,0.9431493,0.03434225,0.022508457,0.9206409
NEE,2023-05-22,0.9388064,0.03528173,0.025911883,0.91289455
NEE,2023-06-20,0.93954337,0.03812167,0.022334907,0.91720843
NEE,2023-07-25,0.9220934,0.05849538,0.019411203,0.9026822
NEE,2023-08-10,0.93883824,0.038373936,0.022787817,0.91605043
NEE,2023-09-25,0.93464357,0.03041395,0.03494256,0.899701
NEE,2023-10-24,0.91633534,0.06450328,0.01916137,0.897174
NEE,2023-11-16,0.9345551,0.0465943,0.018850511,0.9157046
NEE,2024-01-25,0.9165673,0.06383368,0.019599076,0.89696825
NEE,2024-01-31,0.9407711,0.035764948,0.02346391,0.9173072
NEE,2024-02-28,0.9330555,0.043971978,0.022972573,0.91008294
NEE,2024-03-01,0.9419234,0.035880186,0.022196462,0.91972685
NEE,2024-03-04,0.9421398,0.032367744,0.025492435,0.9166474
NEE,2024-03-07,0.9404712,0.036443207,0.023085639,0.91738546
NEE,2024-04-23,0.9224045,0.05786801,0.01972742,0.9026772
NEE,2024-05-06,0.9278857,0.024729794,0.047384463,0.8805013
NEE,2024-05-28,0.93798584,0.034539763,0.02747442,0.91051143
NEE,2024-06-03,0.94626164,0.03047869,0.023259588,0.9230021
