ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment,Date,year,month,day,Symbol,Open,High,Low,Close,Volume,gain_loss,high_vs_prev_day,low_vs_prev_day,volume_vs_prev_day,pct_close_change,pct_volume_change
JPM,2024-01-16,0.94728154,0.030546559,0.022171894,0.9251096,2024-01-16,2024,1,16,JPM,164.87,168.09,164.3,167.99,17206420.0,1,0,0,1,0.5386,54.9085
JPM,2024-01-18,0.87748826,0.02437805,0.098133676,0.7793546,2024-01-18,2024,1,18,JPM,167.12,167.53,165.24,167.42,9382255.0,1,0,0,0,-1.6969,-28.4652
JPM,2024-01-23,0.9474282,0.030322766,0.022248957,0.92517924,2024-01-23,2024,1,23,JPM,169.67,169.75,168.44,168.99,8360829.0,0,0,0,0,-0.8856,-16.1154
JPM,2024-01-25,0.9451442,0.034710176,0.020145688,0.9249985,2024-01-25,2024,1,25,JPM,172.31,172.99,170.905,172.94,8873481.0,1,0,0,1,0.3831,19.2199
JPM,2024-03-12,0.9456473,0.029303981,0.025048709,0.9205986,2024-03-12,2024,3,12,JPM,188.95,190.16,187.91,189.84,5708384.0,1,0,0,0,-0.8047,-26.7737
JPM,2024-03-21,0.94976497,0.02868314,0.02155184,0.9282131,2024-03-21,2024,3,21,JPM,196.52,199.43,196.33,199.06,11203796.0,1,0,0,1,1.241,38.1677
JPM,2024-04-08,0.8632952,0.11709015,0.019614683,0.8436805,2024-04-08,2024,4,8,JPM,197.62,198.98,197.62,198.48,8000963.0,1,1,1,1,0.6746,8.729
JPM,2024-04-12,0.8937885,0.08549959,0.020711858,0.8730767,2024-04-12,2024,4,12,JPM,188.32,188.93,182.54,182.79,31532308.0,0,1,1,1,-0.0547,113.5382
JPM,2024-04-22,0.9476509,0.030099336,0.022249725,0.9254012,2024-04-22,2024,4,22,JPM,185.99,190.125,185.98,189.41,11529668.0,1,0,0,1,-1.4208,26.0849
JPM,2024-05-06,0.9413488,0.0320734,0.026577791,0.914771,2024-05-06,2024,5,6,JPM,191.73,192.2,189.815,192.0,7911134.0,1,0,0,1,0.1304,2.892
JPM,2024-05-15,0.9432837,0.034872226,0.021844111,0.9214395,2024-05-15,2024,5,15,JPM,202.01,202.69,199.77,202.11,8369975.0,1,0,0,0,-0.1778,-1.5057
JPM,2024-05-20,0.89769685,0.079689614,0.022613559,0.87508327,2024-05-20,2024,5,20,JPM,204.39,205.88,195.4,195.58,17373253.0,0,1,0,1,-1.9747,20.4736
JPM,2024-05-23,0.9423432,0.032416154,0.025240665,0.9171025,2024-05-23,2024,5,23,JPM,197.81,198.3,196.07,196.92,8069445.0,0,0,0,1,-1.8883,9.6953
JPM,2024-06-03,0.9464668,0.028806843,0.024726335,0.92174053,2024-06-03,2024,6,3,JPM,202.31,202.42,199.19,201.82,6444309.0,0,1,1,0,1.3356,-5.8997
JPM,2024-06-28,0.9084997,0.06988781,0.02161246,0.8868873,2024-06-28,2024,6,28,JPM,200.01,202.6,199.3018,202.26,15307616.0,1,0,0,1,-1.5527,49.9888
JPM,2024-07-12,0.8955893,0.083768144,0.020642567,0.8749467,2024-07-12,2024,7,12,JPM,204.0,207.45,202.1,204.94,15443441.0,1,0,0,1,-2.4328,44.0664
